Iteration,Loss
1,4.50213623046875
2,4.287726402282715
3,2.4523606300354004
4,4.486287593841553
5,1.717162847518921
6,2.1087465286254883
7,1.557024359703064
8,1.5595000982284546
9,1.3422274589538574
10,1.3734424114227295
11,1.2334948778152466
12,1.2523386478424072
13,1.183516263961792
14,1.190972089767456
15,1.138362169265747
16,1.1616413593292236
17,1.1231156587600708
18,1.1532961130142212
19,1.121138334274292
20,1.1276953220367432
21,1.081850290298462
22,1.0838404893875122
23,1.054650068283081
24,1.0527580976486206
25,1.026467204093933
26,1.0241408348083496
27,1.0005781650543213
28,0.9989264011383057
29,0.9757048487663269
30,0.9667970538139343
31,0.9431486129760742
32,0.9340778589248657
33,0.9097601175308228
34,0.9024804830551147
35,0.877117395401001
36,0.8705869913101196
37,0.8446149230003357
38,0.8384062051773071
39,0.8126540184020996
40,0.8060336112976074
41,0.7822240591049194
42,0.7745367288589478
43,0.7599620819091797
44,0.7488298416137695
45,0.7263151407241821
46,0.7154037952423096
47,0.7029107809066772
48,0.689263105392456
49,0.6759490966796875
50,0.66185063123703
51,0.6438909769058228
52,0.6318665742874146
53,0.618798017501831
54,0.6066751480102539
55,0.6033042669296265
56,0.5890641212463379
57,0.5775305032730103
58,0.5629158020019531
59,0.5577558875083923
60,0.5426143407821655
61,0.5397502183914185
62,0.5235918164253235
63,0.5228033661842346
64,0.5054899454116821
65,0.5072516202926636
66,0.48846179246902466
67,0.49460312724113464
68,0.47303706407546997
69,0.48870277404785156
70,0.46379297971725464
71,0.46609795093536377
72,0.44343969225883484
73,0.45481622219085693
74,0.43032294511795044
75,0.44421255588531494
76,0.419245183467865
77,0.43169257044792175
78,0.411915123462677
79,0.42290884256362915
80,0.3957374095916748
81,0.4106310307979584
82,0.3864339590072632
83,0.40219613909721375
84,0.37715989351272583
85,0.39428719878196716
86,0.367367148399353
87,0.38591378927230835
88,0.3586376905441284
89,0.37789386510849
90,0.35033556818962097
91,0.3706663250923157
92,0.3423144221305847
93,0.3651190996170044
94,0.33496397733688354
95,0.35942286252975464
96,0.32811787724494934
97,0.35168036818504333
98,0.32073864340782166
99,0.34537646174430847
100,0.3139564096927643
101,0.33919426798820496
102,0.3074009418487549
103,0.3329169750213623
104,0.3010028004646301
105,0.3266313076019287
106,0.29477542638778687
107,0.32043030858039856
108,0.2887459397315979
109,0.3143489956855774
110,0.282927542924881
111,0.3083898425102234
112,0.27732163667678833
113,0.3025450110435486
114,0.27192261815071106
115,0.29681357741355896
116,0.26672229170799255
117,0.2912064790725708
118,0.26171359419822693
119,0.28574708104133606
120,0.2568901479244232
121,0.28046274185180664
122,0.25224679708480835
123,0.2753761410713196
124,0.2477778047323227
125,0.27049219608306885
126,0.24347630143165588
127,0.2657938003540039
128,0.23933401703834534
129,0.2612469792366028
130,0.23534098267555237
131,0.2568104565143585
132,0.23148594796657562
133,0.25245401263237
134,0.22775807976722717
135,0.24816954135894775
136,0.22414903342723846
137,0.24396926164627075
138,0.22065304219722748
139,0.23987668752670288
140,0.21726614236831665
141,0.23591360449790955
142,0.21398542821407318
143,0.23209455609321594
144,0.21080660820007324
145,0.22842270135879517
146,0.20772171020507812
147,0.22489038109779358
148,0.20471975207328796
149,0.22148315608501434
150,0.20179156959056854
151,0.21818777918815613
152,0.19893160462379456
153,0.21499168872833252
154,0.19613730907440186
155,0.2118838131427765
156,0.19340702891349792
157,0.2088531255722046
158,0.19073794782161713
159,0.20588836073875427
160,0.18812619149684906
161,0.20297859609127045
162,0.18556800484657288
163,0.2001151144504547
164,0.18306100368499756
165,0.19729310274124146
166,0.1806047558784485
167,0.19451043009757996
168,0.17819955945014954
169,0.19176775217056274
170,0.17584586143493652
171,0.18906685709953308
172,0.17354339361190796
173,0.18641060590744019
174,0.17129133641719818
175,0.18380191922187805
176,0.16908806562423706
177,0.1812434196472168
178,0.16693167388439178
179,0.17873720824718475
180,0.16482055187225342
181,0.17628642916679382
182,0.16275358200073242
183,0.17389336228370667
184,0.1607300192117691
185,0.17156022787094116
186,0.15874949097633362
187,0.16928905248641968
188,0.1568119376897812
189,0.16708040237426758
190,0.15491679310798645
191,0.16493381559848785
192,0.15306329727172852
193,0.16284750401973724
194,0.15124990046024323
195,0.1608186960220337
196,0.14947456121444702
197,0.1588432937860489
198,0.1477348953485489
199,0.15691715478897095
200,0.14602872729301453
201,0.15503664314746857
202,0.14435438811779022
203,0.15319883823394775
204,0.14271101355552673
205,0.15140148997306824
206,0.1410982310771942
207,0.1496429741382599
208,0.13951566815376282
209,0.14792124927043915
210,0.13796263933181763
211,0.14623355865478516
212,0.13643820583820343
213,0.14457827806472778
214,0.13494199514389038
215,0.14295387268066406
216,0.13347353041172028
217,0.14135897159576416
218,0.13203215599060059
219,0.1397922933101654
220,0.13061729073524475
221,0.13825303316116333
222,0.12922877073287964
223,0.1367410123348236
224,0.12786634266376495
225,0.1352556049823761
226,0.12652935087680817
227,0.13379622995853424
228,0.1252167820930481
229,0.13236203789710999
230,0.12392785400152206
231,0.1309528350830078
232,0.12266217917203903
233,0.1295684278011322
234,0.12141922116279602
235,0.12820860743522644
236,0.12019854784011841
237,0.12687334418296814
238,0.11899977177381516
239,0.12556228041648865
240,0.11782242357730865
