Iteration,Loss
1,53.09312438964844
2,103.78072357177734
3,43.777530670166016
4,42.4461555480957
5,42.26486587524414
6,42.1968879699707
7,42.148353576660156
8,42.10585403442383
9,42.065738677978516
10,42.02655029296875
11,41.98764419555664
12,41.948726654052734
13,41.909664154052734
14,41.870384216308594
15,41.830833435058594
16,41.79098892211914
17,41.75081253051758
18,41.710289001464844
19,41.669403076171875
20,41.62812042236328
21,41.5864143371582
22,41.544281005859375
23,41.501678466796875
24,41.45859146118164
25,41.415000915527344
26,41.37086868286133
27,41.32618713378906
28,41.28091812133789
29,41.23504638671875
30,41.188533782958984
31,41.14137268066406
32,41.09353256225586
33,41.04497528076172
34,40.99567794799805
35,40.94562530517578
36,40.894775390625
37,40.843101501464844
38,40.790584564208984
39,40.737186431884766
40,40.68288803100586
41,40.627655029296875
42,40.57145309448242
43,40.51424026489258
44,40.456016540527344
45,40.3967170715332
46,40.33633041381836
47,40.274818420410156
48,40.2121467590332
49,40.148284912109375
50,40.083187103271484
51,40.0168342590332
52,39.94916915893555
53,39.880184173583984
54,39.80982971191406
55,39.738067626953125
56,39.66485595703125
57,39.590179443359375
58,39.51397705078125
59,39.43622970581055
60,39.35688400268555
61,39.275909423828125
62,39.19328308105469
63,39.108943939208984
64,39.02287673950195
65,38.93501663208008
66,38.845367431640625
67,38.75387191772461
68,38.66048812866211
69,38.56520080566406
70,38.46797180175781
71,38.36876678466797
72,38.2675666809082
73,38.164337158203125
74,38.05905532836914
75,37.951698303222656
76,37.84225082397461
77,37.73069381713867
78,37.617027282714844
79,37.501224517822266
80,37.383304595947266
81,37.26324462890625
82,37.14105987548828
83,37.01677322387695
84,36.89038848876953
85,36.761932373046875
86,36.631439208984375
87,36.49894714355469
88,36.3644905090332
89,36.2281379699707
90,36.08993148803711
91,35.949954986572266
92,35.80828094482422
93,35.66498565673828
94,35.52016067504883
95,35.3739128112793
96,35.22634506225586
97,35.07755661010742
98,34.92768859863281
99,34.77684783935547
100,34.62516403198242
101,34.4727668762207
102,34.31978988647461
103,34.166378021240234
104,34.01266098022461
105,33.85877990722656
106,33.70485305786133
107,33.5510368347168
108,33.39745330810547
109,33.244224548339844
110,33.09148025512695
111,32.939334869384766
112,32.78788757324219
113,32.63724136352539
114,32.48752212524414
115,32.33880615234375
116,32.1911735534668
117,32.04469299316406
118,31.899457931518555
119,31.75551986694336
120,31.612932205200195
121,31.471759796142578
122,31.332033157348633
123,31.19379425048828
124,31.05707550048828
125,30.921911239624023
126,30.788314819335938
127,30.656312942504883
128,30.525915145874023
129,30.39712905883789
130,30.26996612548828
131,30.14443016052246
132,30.020519256591797
133,29.898231506347656
134,29.77756118774414
135,29.658504486083984
136,29.54104995727539
137,29.425193786621094
138,29.310911178588867
139,29.198200225830078
140,29.087047576904297
141,28.977428436279297
142,28.86933135986328
143,28.762741088867188
144,28.657638549804688
145,28.554006576538086
146,28.451826095581055
147,28.351076126098633
148,28.251739501953125
149,28.153797149658203
150,28.05722427368164
151,27.962005615234375
152,27.868118286132812
153,27.775545120239258
154,27.684268951416016
155,27.594261169433594
156,27.505508422851562
157,27.417987823486328
158,27.331684112548828
159,27.246570587158203
160,27.162633895874023
161,27.079853057861328
162,26.998207092285156
163,26.917682647705078
164,26.838254928588867
165,26.759912490844727
166,26.682628631591797
167,26.606393814086914
168,26.53118896484375
169,26.45699691772461
170,26.38379669189453
171,26.31157684326172
172,26.24031639099121
173,26.170005798339844
174,26.100622177124023
175,26.03215217590332
176,25.964584350585938
177,25.897899627685547
178,25.832082748413086
179,25.76712417602539
180,25.7030086517334
181,25.63971710205078
182,25.57723617553711
183,25.515554428100586
184,25.454662322998047
185,25.39454460144043
186,25.335186004638672
187,25.27657699584961
188,25.218698501586914
189,25.161548614501953
190,25.10511016845703
191,25.04936981201172
192,24.99431800842285
193,24.939945220947266
194,24.88623809814453
195,24.83318519592285
196,24.780778884887695
197,24.7290096282959
198,24.677858352661133
199,24.6273250579834
200,24.577392578125
201,24.52805519104004
202,24.479307174682617
203,24.431127548217773
204,24.383520126342773
205,24.336467742919922
206,24.289962768554688
207,24.244001388549805
208,24.198570251464844
209,24.153657913208008
210,24.109262466430664
211,24.06536865234375
212,24.02198028564453
213,23.979074478149414
214,23.936656951904297
215,23.894712448120117
216,23.853242874145508
217,23.812227249145508
218,23.771663665771484
219,23.731548309326172
220,23.69187355041504
221,23.652629852294922
222,23.613815307617188
223,23.57541847229004
224,23.537433624267578
225,23.49985694885254
226,23.46268081665039
227,23.4258975982666
228,23.389507293701172
229,23.353496551513672
230,23.317861557006836
231,23.2825984954834
232,23.247703552246094
233,23.213167190551758
234,23.178987503051758
235,23.145156860351562
236,23.111671447753906
237,23.07852554321289
238,23.045713424682617
239,23.013233184814453
240,22.981075286865234
241,22.94923973083496
242,22.917722702026367
243,22.886510848999023
244,22.855613708496094
245,22.82501220703125
246,22.79471206665039
247,22.76470184326172
248,22.7349853515625
249,22.705554962158203
250,22.676406860351562
251,22.647537231445312
252,22.618940353393555
253,22.590614318847656
254,22.56255531311035
255,22.534759521484375
256,22.50722312927246
257,22.47994041442871
258,22.452917098999023
259,22.426137924194336
260,22.39960479736328
261,22.373313903808594
262,22.347265243530273
263,22.321453094482422
264,22.295869827270508
265,22.270523071289062
266,22.245397567749023
267,22.220500946044922
268,22.195825576782227
269,22.171367645263672
270,22.147125244140625
271,22.123098373413086
272,22.099281311035156
273,22.07567024230957
274,22.052268981933594
275,22.029069900512695
276,22.006065368652344
277,21.98326301574707
278,21.960655212402344
279,21.93824005126953
280,21.916015625
281,21.89398193359375
282,21.87213134765625
283,21.850467681884766
284,21.828983306884766
285,21.80767822265625
286,21.78655242919922
287,21.765600204467773
